117.2.186.94,80,"HTTP/1.1 401 Unauthorized
Server: GoAhead-Webs
Date: Wed Mar  8 07:55:50 2017
WWW-Authenticate: Digest realm=""WIFICAM"", domain="""",qop=""auth"", nonce=""64478a8f74c87fd72012a87df94edb4e"", opaque=""5ccc069c403ebaf9f0171e9517f40e41"",algorithm=""MD5"", stale=""FALSE""
Pragma: no-cache
Cache-Control: no-cache
Content-Type: text/html

",2017-03-08T07:55:53.387955,localhost,Vietnam,Hanoi,,Viettel Corporation
42.113.239.142,80,"HTTP/1.1 401 Unauthorized
Server: GoAhead-Webs
Date: Wed Mar  8 04:44:01 2017
WWW-Authenticate: Digest realm=""WIFICAM"", domain="""",qop=""auth"", nonce=""311e841f1dd09767ddac790b95aa7904"", opaque=""5ccc069c403ebaf9f0171e9517f40e41"",algorithm=""MD5"", stale=""FALSE""
Pragma: no-cache
Cache-Control: no-cache
Content-Type: text/html

",2017-03-08T07:46:48.602358,,Vietnam,Hanoi,,FPT Telecom Company
42.116.99.67,81,"HTTP/1.1 401 Unauthorized
Server: GoAhead-Webs
Date: Wed Mar  8 07:46:05 2017
WWW-Authenticate: Digest realm=""WIFICAM"", domain="":81"",qop=""auth"", nonce=""127bb6b4f6ae879fbd1abc89744024d0"", opaque=""5ccc069c403ebaf9f0171e9517f40e41"",algorithm=""MD5"", stale=""FALSE""
Pragma: no-cache
Cache-Control: no-cache
Content-Type: text/html

",2017-03-08T07:46:11.690457,,Vietnam,Hanoi,,FPT Telecom Company
117.5.234.238,80,"HTTP/1.1 401 Unauthorized
Server: GoAhead-Webs
Date: Wed Mar  8 07:43:52 2017
WWW-Authenticate: Digest realm=""WIFICAM"", domain="""",qop=""auth"", nonce=""b2e7eb90e14bb5a63c017bf4497ff7bd"", opaque=""5ccc069c403ebaf9f0171e9517f40e41"",algorithm=""MD5"", stale=""FALSE""
Pragma: no-cache
Cache-Control: no-cache
Content-Type: text/html

",2017-03-08T07:43:56.641426,localhost,Vietnam,Khoai Chau,,Viettel Corporation
27.76.165.200,80,"HTTP/1.1 401 Unauthorized
Server: GoAhead-Webs
Date: Wed Mar  8 07:41:58 2017
WWW-Authenticate: Digest realm=""WIFICAM"", domain="""",qop=""auth"", nonce=""1042d20514e4b04da9e75030b83f1005"", opaque=""5ccc069c403ebaf9f0171e9517f40e41"",algorithm=""MD5"", stale=""FALSE""
Pragma: no-cache
Cache-Control: no-cache
Content-Type: text/html

",2017-03-08T07:42:04.100549,localhost,Vietnam,,,Viettel Corporation
115.76.33.59,81,"HTTP/1.1 401 Unauthorized
Server: GoAhead-Webs
Date: Wed Mar  8 07:41:05 2017
WWW-Authenticate: Digest realm=""GoAhead"", domain="":81"",qop=""auth"", nonce=""730dff56279168dad5116bb7a7c8b209"", opaque=""5ccc069c403ebaf9f0171e9517f40e41"",algorithm=""MD5"", stale=""FALSE""
Pragma: no-cache
Cache-Control: no-cache
Content-Type: text/html

",2017-03-08T07:41:10.382349,adsl.viettel.vn,Vietnam,Ho Chi Minh City,,Viettel Corporation
27.76.21.235,80,"HTTP/1.1 401 Unauthorized
Server: GoAhead-Webs
Date: Wed Mar  8 07:37:20 2017
WWW-Authenticate: Digest realm=""WIFICAM"", domain="""",qop=""auth"", nonce=""f32e27897e12c19142d28b2ae8c572d6"", opaque=""5ccc069c403ebaf9f0171e9517f40e41"",algorithm=""MD5"", stale=""FALSE""
Pragma: no-cache
Cache-Control: no-cache
Content-Type: text/html

",2017-03-08T07:37:23.285349,localhost,Vietnam,,,Viettel Corporation
113.22.14.113,81,"HTTP/1.1 401 Unauthorized
Server: GoAhead-Webs
Date: Wed Mar  8 07:34:52 2017
WWW-Authenticate: Digest realm=""GoAhead"", domain="":81"",qop=""auth"", nonce=""6abeed23a86418505ba4de98659b923e"", opaque=""5ccc069c403ebaf9f0171e9517f40e41"",algorithm=""MD5"", stale=""FALSE""
Pragma: no-cache
Cache-Control: no-cache
Content-Type: text/html

",2017-03-08T07:34:57.626640,,Vietnam,Hanoi,,FPT Telecom Company
112.197.116.35,82,"HTTP/1.1 401 Unauthorized
Server: GoAhead-Webs
Date: Wed Mar  8 07:33:06 2017
WWW-Authenticate: Digest realm=""GoAhead"", domain="":82"",qop=""auth"", nonce=""a489dfb05e2aec4dc379a3b8842c8a9d"", opaque=""5ccc069c403ebaf9f0171e9517f40e41"",algorithm=""MD5"", stale=""FALSE""
Pragma: no-cache
Cache-Control: no-cache
Content-Type: text/html

",2017-03-08T07:33:08.776764,,Vietnam,Quan,,SaiGon Tourist cable Televition Company
27.74.5.234,82,"HTTP/1.1 401 Unauthorized
Server: GoAhead-Webs
Date: Wed Mar  8 07:29:53 2017
WWW-Authenticate: Digest realm=""GoAhead"", domain="":82"",qop=""auth"", nonce=""476fe780b468183a00192bc95c545de4"", opaque=""5ccc069c403ebaf9f0171e9517f40e41"",algorithm=""MD5"", stale=""FALSE""
Pragma: no-cache
Cache-Control: no-cache
Content-Type: text/html

",2017-03-08T07:30:47.775749,localhost,Vietnam,Ben Tre,,Viettel Corporation
118.69.31.149,81,"HTTP/1.1 401 Unauthorized
Server: GoAhead-Webs
Date: Wed Mar  8 07:29:53 2017
WWW-Authenticate: Digest realm=""GoAhead"", domain="":81"",qop=""auth"", nonce=""e403afedf6327e8cc9ee4ca6a0258cf7"", opaque=""5ccc069c403ebaf9f0171e9517f40e41"",algorithm=""MD5"", stale=""FALSE""
Pragma: no-cache
Cache-Control: no-cache
Content-Type: text/html

",2017-03-08T07:30:45.497680,,Vietnam,Hanoi,,FPT Telecom Company
116.101.208.238,80,"HTTP/1.1 401 Unauthorized
Server: GoAhead-Webs
Date: Tue Mar  7 19:02:53 2017
WWW-Authenticate: Digest realm=""WIFICAM"", domain="""",qop=""auth"", nonce=""209cad85eb4a0966708c5d1f774232cb"", opaque=""5ccc069c403ebaf9f0171e9517f40e41"",algorithm=""MD5"", stale=""FALSE""
Pragma: no-cache
Cache-Control: no-cache
Content-Type: text/html

",2017-03-08T07:25:07.039064,,Vietnam,Hanoi,,Viettel Corporation
42.112.66.51,80,"HTTP/1.1 401 Unauthorized
Server: GoAhead-Webs
Date: Wed Mar  8 07:23:38 2017
WWW-Authenticate: Digest realm=""WIFICAM"", domain="""",qop=""auth"", nonce=""8cb175e98b604b7800205c989182a8da"", opaque=""5ccc069c403ebaf9f0171e9517f40e41"",algorithm=""MD5"", stale=""FALSE""
Pragma: no-cache
Cache-Control: no-cache
Content-Type: text/html

",2017-03-08T07:23:44.079466,,Vietnam,Hanoi,,FPT Telecom Company
116.101.32.130,81,"HTTP/1.1 401 Unauthorized
Server: GoAhead-Webs
Date: Wed Mar  8 06:22:18 2017
WWW-Authenticate: Digest realm=""GoAhead"", domain="":81"",qop=""auth"", nonce=""a0eb26b61c29e8df7102594314ed232c"", opaque=""5ccc069c403ebaf9f0171e9517f40e41"",algorithm=""MD5"", stale=""FALSE""
Pragma: no-cache
Cache-Control: no-cache
Content-Type: text/html

",2017-03-08T07:22:53.598970,,Vietnam,Hanoi,,Viettel Corporation
14.169.37.173,81,"HTTP/1.1 401 Unauthorized
Server: GoAhead-Webs
Date: Wed Mar  8 07:19:47 2017
WWW-Authenticate: Digest realm=""GoAhead"", domain="":81"",qop=""auth"", nonce=""0e916f553e75cd3e5c3831ea4189b602"", opaque=""5ccc069c403ebaf9f0171e9517f40e41"",algorithm=""MD5"", stale=""FALSE""
Pragma: no-cache
Cache-Control: no-cache
Content-Type: text/html

",2017-03-08T07:19:51.171081,static.vnpt.vn,Vietnam,Ho Chi Minh City,,Vietnam Posts and Telecommunications(VNPT)
116.108.199.133,84,"HTTP/1.1 401 Unauthorized
Server: GoAhead-Webs
Date: Sat Sep 19 01:35:32 2015
WWW-Authenticate: Digest realm=""GoAhead"", domain="":84"",qop=""auth"", nonce=""20d3d9f88ea45ae94fd098453aea2704"", opaque=""5ccc069c403ebaf9f0171e9517f40e41"",algorithm=""MD5"", stale=""FALSE""
Pragma: no-cache
Cache-Control: no-cache
Content-Type: text/html

",2017-03-08T07:18:08.737091,,Vietnam,Ho Chi Minh City,,Viettel Corporation
42.115.191.74,80,"HTTP/1.1 401 Unauthorized
Server: GoAhead-Webs
Date: Wed Mar  8 07:17:17 2017
WWW-Authenticate: Digest realm=""WIFICAM"", domain="""",qop=""auth"", nonce=""677b3ffe8dea51e9d141f5991372463e"", opaque=""5ccc069c403ebaf9f0171e9517f40e41"",algorithm=""MD5"", stale=""FALSE""
Pragma: no-cache
Cache-Control: no-cache
Content-Type: text/html

",2017-03-08T07:17:20.703189,,Vietnam,,,FPT Telecom Company
42.116.116.243,80,"HTTP/1.1 401 Unauthorized
Server: GoAhead-Webs
Date: Wed Mar  8 07:16:53 2017
WWW-Authenticate: Digest realm=""WIFICAM"", domain="""",qop=""auth"", nonce=""b7a735a4540e953d96643c121dfb9ffb"", opaque=""5ccc069c403ebaf9f0171e9517f40e41"",algorithm=""MD5"", stale=""FALSE""
Pragma: no-cache
Cache-Control: no-cache
Content-Type: text/html

",2017-03-08T07:16:57.095121,,Vietnam,Hanoi,,FPT Telecom Company
113.162.171.120,80,"HTTP/1.1 401 Unauthorized
Server: GoAhead-Webs
Date: Wed Mar  8 07:15:24 2017
WWW-Authenticate: Digest realm=""WIFICAM"", domain="""",qop=""auth"", nonce=""3bd7a6026456e7ac34f1a12bdf57c5ce"", opaque=""5ccc069c403ebaf9f0171e9517f40e41"",algorithm=""MD5"", stale=""FALSE""
Pragma: no-cache
Cache-Control: no-cache
Content-Type: text/html

",2017-03-08T07:15:28.733473,,Vietnam,Ho Chi Minh City,,Vietnam Posts and Telecommunications(VNPT)
14.174.188.154,80,"HTTP/1.1 401 Unauthorized
Server: GoAhead-Webs
Date: Wed Mar  8 07:06:15 2017
WWW-Authenticate: Digest realm=""WIFICAM"", domain="""",qop=""auth"", nonce=""2ff84471addec12094fb49d311711613"", opaque=""5ccc069c403ebaf9f0171e9517f40e41"",algorithm=""MD5"", stale=""FALSE""
Pragma: no-cache
Cache-Control: no-cache
Content-Type: text/html

",2017-03-08T07:06:22.087920,static.vnpt.vn,Vietnam,Hanoi,,Vietnam Posts and Telecommunications(VNPT)
118.68.7.64,80,"HTTP/1.1 401 Unauthorized
Server: GoAhead-Webs
Date: Wed Mar  8 07:05:13 2017
WWW-Authenticate: Digest realm=""WIFICAM"", domain="""",qop=""auth"", nonce=""fc0326407de5e0361df6f4533f92f3b5"", opaque=""5ccc069c403ebaf9f0171e9517f40e41"",algorithm=""MD5"", stale=""FALSE""
Pragma: no-cache
Cache-Control: no-cache
Content-Type: text/html

",2017-03-08T07:05:15.573672,,Vietnam,Hanoi,,FPT Telecom Company
113.22.175.4,81,"HTTP/1.1 401 Unauthorized
Server: GoAhead-Webs
Date: Wed Mar  8 07:05:02 2017
WWW-Authenticate: Digest realm=""GoAhead"", domain="":81"",qop=""auth"", nonce=""2dff9cc86be34fbe14874ccd13b0d91b"", opaque=""5ccc069c403ebaf9f0171e9517f40e41"",algorithm=""MD5"", stale=""FALSE""
Pragma: no-cache
Cache-Control: no-cache
Content-Type: text/html

",2017-03-08T07:05:07.633740,,Vietnam,Hanoi,,FPT Telecom Company
42.114.123.142,80,"HTTP/1.1 401 Unauthorized
Server: GoAhead-Webs
Date: Wed Mar  8 07:03:17 2017
WWW-Authenticate: Digest realm=""WIFICAM"", domain="""",qop=""auth"", nonce=""968910046c4f4d213222b8f52b6a7d37"", opaque=""5ccc069c403ebaf9f0171e9517f40e41"",algorithm=""MD5"", stale=""FALSE""
Pragma: no-cache
Cache-Control: no-cache
Content-Type: text/html

",2017-03-08T07:03:21.004500,,Vietnam,Hanoi,,FPT Telecom Company
1.52.106.134,81,"HTTP/1.1 401 Unauthorized
Server: GoAhead-Webs
Date: Wed Mar  8 07:02:36 2017
WWW-Authenticate: Digest realm=""GoAhead"", domain="":81"",qop=""auth"", nonce=""5e48ec04b08435cb05e51adf5ef70037"", opaque=""5ccc069c403ebaf9f0171e9517f40e41"",algorithm=""MD5"", stale=""FALSE""
Pragma: no-cache
Cache-Control: no-cache
Content-Type: text/html

",2017-03-08T07:02:41.004268,,Vietnam,Hanoi,,FPT Telecom Company
42.119.189.63,80,"HTTP/1.1 401 Unauthorized
Server: GoAhead-Webs
Date: Wed Mar  8 07:02:14 2017
WWW-Authenticate: Digest realm=""WIFICAM"", domain="""",qop=""auth"", nonce=""34de75a75abf31572ea7ab91c4213dec"", opaque=""5ccc069c403ebaf9f0171e9517f40e41"",algorithm=""MD5"", stale=""FALSE""
Pragma: no-cache
Cache-Control: no-cache
Content-Type: text/html

",2017-03-08T07:02:19.205764,,Vietnam,Hanoi,,FPT Telecom Company
171.229.99.102,80,"HTTP/1.1 401 Unauthorized
Server: GoAhead-Webs
Date: Wed Mar  8 07:01:13 2017
WWW-Authenticate: Digest realm=""WIFICAM"", domain="""",qop=""auth"", nonce=""50d02287d64cff47a2d7170acc0c9b15"", opaque=""5ccc069c403ebaf9f0171e9517f40e41"",algorithm=""MD5"", stale=""FALSE""
Pragma: no-cache
Cache-Control: no-cache
Content-Type: text/html

",2017-03-08T07:01:29.726627,,Vietnam,Hanoi,,Viettel Corporation
